name,area,location,star_rating,price_range_per_night_usd,budget_category,description
Al Masa Hotel Nasr City,Nasr City,Nasr City Cairo,5,70-120,Mid-range,Popular Nasr City hotel with modern amenities
Cairo Marriott Hotel & Omar Khayyam Casino,Zamalek,16 Saray El Gezira Street,5,130-220,Luxury,Luxurious hotel in historic palace with multiple dining options
Concorde El Salam Cairo Hotel & Casino,Heliopolis,65 Abdel Hamid Badawy St,5,80-140,Upscale,Family-friendly resort with casino and pools
Dusit Thani LakeView Cairo,New Cairo,The Lakeview El Tesseen Street,5,120-200,Luxury,Thai-inspired luxury on a lake in New Cairo
Fairmont Nile City,Boulaq,Nile City Towers Corniche El Nil,5,124-200,Luxury,Modern luxury in Nile City complex with river views
Four Seasons Hotel Cairo at Nile Plaza,Qasr El Nil,1089 Corniche El Nil,5,350-600,Luxury,Premier luxury with rooftop pool and award-winning dining
Four Seasons Hotel Cairo at First Residence,Giza,35 Giza Street,5,350-645,Luxury,Luxury property in Giza with upscale shopping
Hilton Cairo Grand Nile,Garden City,Corniche El Nil Garden City,5,151-250,Luxury,Nile-side hotel with excellent city views
Hilton Cairo Heliopolis,Heliopolis,El-Orouba Sheraton Al Matar,5,100-180,Upscale,Well-located near airport with outdoor pool
Holiday Inn & Suites Cairo Maadi,Maadi,A Nile Corniche Maadi,5,90-150,Upscale,Extended stay option in Maadi
Holiday Inn Cairo Maadi,Maadi,47-B Nile Corniche Maadi,4,70-120,Mid-range,Reliable mid-range option in Maadi
Holiday Inn Citystars,Nasr City,Citystars Complex Nasr City,5,100-170,Upscale,Connected to Citystars shopping mall
Intercontinental Cairo Citystars,Nasr City,Omar Ibn El-Khattab Street,5,110-200,Luxury,Connected to Citystars mall with extensive amenities
Intercontinental Cairo Semiramis,Garden City,Corniche El Nil Street,5,110-180,Luxury,Classic luxury hotel overlooking the Nile
Jewel Sport City And Aqua Park,Heliopolis,Heliopolis Cairo,5,80-130,Upscale,Sports and aqua park facilities
JW Marriott Hotel Cairo,Mirage City,Ring Road-Mirage City,5,150-250,Luxury,Resort-style luxury hotel in east Cairo
Kempinski Nile Hotel Cairo,Garden City,12 Ahmed Ragheb Qasr El Nil,5,180-260,Luxury,European luxury with river views and gourmet dining
Kempinski Palace Cairo,New Capital,Eastern Ring Road New Capital,5,180-300,Luxury,Palace-style luxury in the new capital
Le Meridien Cairo Airport,Heliopolis,Cairo Airport Terminal 3,5,89-180,Upscale,Convenient airport hotel connected to terminal
Le Passage Cairo Hotel & Casino,Heliopolis,Cairo Intl Airport Road,5,77-182,Upscale,Lively hotel and casino near airport
Ramses Hilton,Downtown,1115 Corniche El Nile,5,83-150,Upscale,Iconic Nile-side hotel near Egyptian Museum
Rehana Plaza Hotel,New Cairo,New Cairo,5,90-150,Upscale,Modern hotel in New Cairo
Renaissance Cairo Mirage City Hotel,Mirage City,Ring Road Mirage City,5,100-170,Upscale,Family-friendly hotel with pool facilities
Sofitel Cairo Downtown Nile,Downtown,Corniche El Nil Street 1191,5,125-200,Upscale,Stylish downtown property on the Nile
Sofitel Cairo Nile El Gezirah,Zamalek,3 El Thawra Council St Zamalek,5,160-250,Luxury,French-style hotel with balconies and Nile views
Sonesta Hotel Tower & Casino Cairo,Nasr City,El Tayaran Street,5,80-150,Upscale,Hotel with casino and multiple dining options
The Guard Hotel,New Cairo,New Cairo,5,100-160,Upscale,Modern luxury hotel in New Cairo
The Nile Ritz-Carlton Cairo,Downtown,1113 Corniche El Nil Street,5,150-250,Luxury,Iconic luxury property on the Nile corniche
The St. Regis Cairo,Downtown,1189 Corniche El Nil,5,200-400,Luxury,Ultra-luxury hotel with butler service and Nile views
The St. Regis New Capital Cairo,New Capital,New Administrative Capital,5,180-350,Luxury,Luxury in the new administrative capital
The Westin Cairo Golf Resort & Spa,Katameya Dunes,Katameya Dunes,5,150-280,Luxury,Golf resort with spa facilities
Tolip Family Park Hotel,New Cairo,New Cairo,5,80-130,Upscale,Family-friendly hotel with park
Triumph Luxury Hotel,Nasr City,Nasr City Cairo,5,120-200,Upscale,Modern luxury in Nasr City
Waldorf Astoria Cairo Heliopolis,Heliopolis,Orouba Street Heliopolis,5,250-400,Luxury,Ultra-luxury in Heliopolis with golf course access
Cairo World Trade Center Hotel & Residences,Garden City,Nile Corniche,4,80-130,Upscale,Business hotel in WTC complex
Steigenberger Hotel El Tahrir Cairo,Downtown,2 Kasr Al Nile,4,60-100,Mid-range,Central hotel near Egyptian Museum and Tahrir Square
Triumph Plaza Hotel,Heliopolis,El Khlifa El Maamoun Street,4,60-90,Mid-range,Well-located in Heliopolis
Baron Hotel Cairo,Heliopolis,Heliopolis,4,50-80,Mid-range,Historic hotel near Baron Empain Palace
Helnan Landmark Hotel,Nasr City,Nasr City,4,60-100,Mid-range,Business hotel in Nasr City
Hilton Cairo Zamalek Residences,Zamalek,Zamalek,4,80-130,Upscale,Apart-hotel on Zamalek Island
Golden Tulip Flamenco Hotel Cairo,Zamalek,Zamalek,4,70-110,Mid-range,Spanish-themed hotel on Zamalek
Novotel Cairo Airport,Heliopolis,Cairo Airport Road,4,42-80,Mid-range,Convenient airport hotel
Novotel Cairo El Borg,Downtown,El Borg Cairo,4,50-90,Mid-range,Budget-friendly near Cairo centre
Radisson Blu Hotel Cairo Heliopolis,Heliopolis,Abdel Hamid Badawy St,4,72-130,Mid-range,Popular business hotel in Heliopolis
Staybridge Suites Cairo Citystars,Nasr City,Citystars Complex,4,70-110,Mid-range,Extended stay near Citystars
Tolip El Galaa Hotel Cairo,Downtown,1185 Corniche El Nil,4,52-90,Mid-range,Good value Nile-side hotel in downtown
Jaz Pyramids Resort,Giza,Giza Pyramids Area,4,60-100,Mid-range,Resort near pyramids
Om Kolthoom Hotel,Zamalek,Zamalek,4,60-100,Mid-range,Hotel with panoramic Nile views
Pyramisa Suites Hotel Cairo,Dokki,Dokki,4,50-80,Mid-range,Suites near downtown Cairo
Villa Belle Epoque,Heliopolis,Heliopolis,4,70-120,Mid-range,Boutique hotel in historic villa
Safir Hotel Cairo,Dokki,Po Box 138 Orman El Missaha Square,5,73-130,Upscale,Full-service spa with family-friendly amenities
Sheraton Cairo Hotel & Casino,Dokki,Charles de Gaulle Dokki,5,90-160,Upscale,Established hotel in Dokki with city views
Hilton Cairo Nile Maadi,Maadi,47-B Nile Corniche Maadi,5,110-190,Upscale,Nile view rooms in quiet Maadi district
Steigenberger Pyramids Cairo,Giza,229 Al Haram Street,5,80-150,Upscale,Near pyramids with modern facilities
Cairo Inn,Downtown,6 Talaat Harb Square,3,41-70,Mid-range,Cozy rooms at Talaat Harb Square
Atlas International Hotels,Downtown,26 Mahmoud Bassiouny,3,22-50,Budget,Affordable downtown hotel with basic amenities
Cleopatra Hotel,Downtown,43 Sherief Street,3,57-85,Mid-range,Well-rated mid-range downtown
Cosmopolitan Hotel Cairo,Downtown,Downtown Cairo,3,40-70,Mid-range,Classic downtown hotel near Egyptian Museum
Golden Park Hotel Cairo Heliopolis,Heliopolis,Heliopolis,3,35-60,Budget,Budget hotel in Heliopolis
