name,area,category,entry_fee_usd,estimated_time,rating,description
Giza Pyramids & Great Sphinx,Giza,Ancient/Pharaonic,14-20,3-4 hours,4.9,"Last surviving ancient wonder; three main pyramids and Sphinx"
Grand Egyptian Museum (GEM),Giza,Museum,32,3-5 hours,4.8,"World's largest archaeological museum; complete Tutankhamun collection"
Saqqara Step Pyramid,Saqqara,Ancient/Pharaonic,10-15,2-3 hours,4.6,"Egypt's oldest pyramid (2650 BC); Pyramid of Djoser"
Egyptian Museum (Old),Tahrir Square,Museum,10-15,2-3 hours,4.4,"Historic museum with 100K+ artifacts and Royal Mummy Room"
National Museum of Egyptian Civilization (NMEC),Fustat,Museum,10-15,1.5-2.5 hours,4.7,"Royal Mummies hall; chronological Egyptian history"
Khan el-Khalili Bazaar,Islamic Cairo,Shopping/Market,Free,1-3 hours,4.5,"14th-century market; gold spices lanterns and souvenirs"
Al-Muizz Street,Islamic Cairo,Historical Street,Free,1-2 hours,4.7,"World's largest open-air Islamic monument museum"
Cairo Citadel & Muhammad Ali Mosque,Islamic Cairo,Historical/Fortress,10-15,2-3 hours,4.6,"12th-century fortress; Alabaster Mosque; panoramic city views"
Al-Azhar Mosque,Islamic Cairo,Mosque,Free,30-60 min,4.5,"World's oldest university (970 AD); still functioning"
Ibn Tulun Mosque,Islamic Cairo,Mosque,Free,30-45 min,4.6,"Cairo's oldest complete mosque (879 AD); spiral minaret"
Bab Zuweila,Islamic Cairo,Historical Gate,3-5,30-45 min,4.3,Southern medieval gate; climb minaret for views
Coptic Cairo (Old Cairo),Coptic Cairo,Religious/Historical,Free,1-2 hours,4.5,"Oldest part of Cairo; Roman fortress Babylon"
Hanging Church (Al-Muallaqah),Coptic Cairo,Church,Free,30-45 min,4.5,"4th-century church suspended above Roman gate"
Coptic Museum,Coptic Cairo,Museum,8-12,1-2 hours,4.4,"World's most important collection of early Christian art"
Church of St. Sergius and Bacchus,Coptic Cairo,Church,Free,20-30 min,4.4,Where Holy Family is believed to have sheltered
Cave Church (St. Simon the Tanner),Mokattam,Church,Free,1-1.5 hours,4.6,"Largest church in Middle East carved into Mokattam mountain"
Al-Azhar Park,Islamic Cairo,Park,8-12,1-2 hours,4.6,"Award-winning park; best sunset views; former trash dump transformed"
Cairo Tower,Zamalek,Observation Tower,5,30-60 min,4.3,"187m tower; 360° panoramic views of Cairo and pyramids"
Zamalek (Gezira Island),Zamalek,Neighborhood,Free,2-4 hours,4.5,"Upscale island; galleries boutiques cafes and embassies"
Cairo Opera House,Zamalek,Cultural Venue,Varies,1-3 hours,4.5,"Ballet opera and Egyptian music; Museum of Modern Art on site"
Nile Corniche,Nile River,Promenade,Free,30 min-2 hours,4.4,"Cairo's great riverside promenade; best at night"
Salah El-Din Citadel,Islamic Cairo,Fortress,10-15,2-3 hours,4.5,Massive fortress with mosques museums and palaces
Mosque and Madrasa of Sultan Hassan,Islamic Cairo,Mosque,Free,30-45 min,4.6,"Masterpiece of Mamluk architecture"
