name,area,entry_fee_usd,estimated_time,rating,description
Grand Egyptian Museum (GEM),Giza,32,3-5 hours,4.8,"World's largest archaeological museum; complete Tutankhamun collection"
Egyptian Museum (Old),Tahrir Square,10-15,2-3 hours,4.4,"100K+ artifacts; Royal Mummy Room with 11 royal mummies"
National Museum of Egyptian Civilization (NMEC),Fustat,10-15,1.5-2.5 hours,4.7,"Royal Mummies hall; chronological Egyptian history from predynastic era"
Coptic Museum,Coptic Cairo,8-12,1-2 hours,4.4,"World's most important collection of early Christian art"
Museum of Islamic Art,Islamic Cairo,10-15,1.5-2.5 hours,4.7,"World's finest collection of Islamic art spanning continents"
Gayer-Anderson Museum,Islamic Cairo,5-8,1-1.5 hours,4.5,"17th-century preserved home; James Bond filming location"
Mohamed Mahmoud Khalil Museum,Dokki,5-10,1-2 hours,4.3,"European art collection including Van Gogh and Monet"
Museum of Egyptian Modern Arts,Zamalek,5-10,1-2 hours,4.2,"Modern Egyptian art at Cairo Opera House complex"
Prince Mohamed Ali Palace (Manial Palace),Manial Island,5-10,1-2 hours,4.4,"Palace complex with hunting museum and residence"
Baron Empain Palace,Heliopolis,5-8,30-60 min,4.3,"Unique Hindu-style palace; recently restored 2024"
Gawhara Palace,Islamic Cairo,5-8,30-60 min,4.2,"Mohamed Ali's palace within Citadel compound"
Abdeen Palace Museum,Downtown,8-12,1-2 hours,4.3,"Presidential palace with museum of royal artifacts"
Aisha Fahmy Palace,Zamalek,5-8,30-60 min,4.2,"Beautifully restored palace hosting art exhibitions"
Memphis Open Air Museum,Memphis,8-12,1-1.5 hours,4.3,"Colossus of Ramesses II and Alabaster Sphinx"
Ramses Wissa Wassef Art Center,Harrania (Giza),2,1-2 hours,4.5,"Tapestry weaving center and art gallery in peaceful village"
Zamalek Art Gallery,Zamalek,Free,30-60 min,4.2,"Contemporary Egyptian art since 1972"
Gallery Misr,Zamalek,Free,30-60 min,4.1,Contemporary art gallery in Zamalek
Darb 17 18,Islamic Cairo,Free,30-60 min,4.3,"Contemporary art space in 17th-century building"
Cairo Tower Observation Deck,Zamalek,5,30-60 min,4.3,"187m tower with panoramic views of the city"
