name,area,type,description
Khan el-Khalili Bazaar,Islamic Cairo,Traditional Market,"14th-century covered market; gold silver alabaster spices lanterns; bargaining expected"
Citystars Mall,Nasr City,Shopping Mall,"Largest mall in Cairo; 600+ shops; food court; cinema; entertainment"
Mall of Egypt,6th October,Shopping Mall,"Major mall with Ski Egypt indoor ski resort; Zara H&M Apple; cinema"
Mall of Arabia,6th October,Shopping Mall,"Major mall with KidZania; ice skating; Pull & Bear Nike Adidas"
Cairo Festival City Mall,New Cairo,Shopping Mall,"Open-air luxury mall; IKEA; VOX Cinemas; Magic Planet; dancing fountain"
El-Khayamiya Cloth Market,Islamic Cairo,Traditional Market,"Street of the Tentmakers; colorful fabric crafts and textiles"
Golden Bird Bazaar,Giza,Traditional Market,Local souvenirs and crafts
The First Mall,Giza,Shopping Mall,Upscale shopping in Giza
Arkadia Mall,Heliopolis,Shopping Mall,"Mango Nike; comfortable boutique-style mall"
Galleria Mall,Heliopolis,Shopping Mall,Stylish shopping experience in Heliopolis
Arkan Plaza,6th October,Shopping/Dining Complex,"High-end shopping and dining; Saigon Mori Sushi Beit Ward"
The Village Mall,New Cairo,Shopping Mall,New Cairo shopping destination
Downtown Katameya,Katameya,Shopping Mall,Katameya shopping and dining
Park Mall,New Cairo,Shopping Mall,Neighborhood mall in New Cairo
Cairo World Trade Center,Garden City,Shopping Complex,Shops and business center
Ramses Hilton Galleria,Downtown,Shopping Arcade,250 shops in Hilton complex
Fairmont Nile City Mall,Boulaq,Shopping Arcade,Shops at Fairmont complex
Abdeen Palace Market,Downtown,Market,Gold and jewelry market
Zamalek Boutiques,Zamalek,Boutique Shops,"Upscale boutique shops; Fufa Jozee Boutique Retrograde Records"
Wezaret El Zeraa Market,Downtown,Market,Traditional food and spice market
Souq El Gomaa,Downtown,Flea Market,Friday flea market in downtown
